site,year,wyt,county,sierra_coast,trib,trib_name,reg,em_obs_total,surv_dist_km,egg_per_km,obs_strt,obs_end,estim_strt,estim_end,source_notes,notes
NFA,2015,C,PLACER,S,N,NA,N,30,0.9,33.333333333333336,2015-05-01,NA,2015-05-01,NA,UCD,NA
SFY,2015,D,SIERRA,S,N,NA,R,NA,NA,NA,NA,NA,2015-05-01,NA,UCD,NA
NFY,2015,C,SIERRA,S,N,NA,N,21,0.4,52.5,2015-05-08,2015-05-22,2015-05-05,2015-05-25,UCD,NA
MFA-AMER,2016,D,PLACER,S,Y,American Canyon,Y,7,0.1,70,2016-05-02,NA,2016-04-22,NA,UCD,NA
NFA-RRAV,2016,D,PLACER,S,Y,Robbers Ravine,N,31,0.1,310,2016-04-22,2016-05-25,2016-04-22,2016-05-25,UCD,NA
MFA-RALS,2016,D,PLACER,S,N,upstream Ralston,Y,2,0.35,5.714285714285714,2016-05-13,NA,2016-05-07,NA,UCD,NA
RUB-RALS,2016,D,PLACER,S,N,upstream Ralston,Y,6,0.35,17.142857142857142,2016-06-03,NA,2016-05-20,NA,UCD,NA
NFA,2016,D,PLACER,S,N,NA,N,28,0.9,31.11111111111111,2016-05-25,NA,2016-05-25,NA,UCD,NA
SFY,2016,D,SIERRA,S,N,NA,Y,8,0.35,22.857142857142858,2016-06-01,NA,2016-05-25,NA,UCD,NA
NFY,2016,D,SIERRA,S,N,NA,N,15,0.4,37.5,2016-05-31,NA,2016-05-26,NA,UCD,NA
NFA-RRAV,2017,W,PLACER,S,Y,Robbers Ravine,N,12,0.1,120,2017-05-05,NA,2017-04-25,NA,UCD,NA
NFA,2017,W,PLACER,S,N,NA,N,13,0.9,14.444444444444445,2017-06-09,NA,2017-06-09,NA,UCD,NA
NFA,2018,BN,PLACER,S,N,NA,N,NA,NA,NA,2018-06-05,NA,2018-06-01,NA,UCD,NA
NFA-RRAV,2019,BN,PLACER,S,Y,Robbers Ravine,N,5,0.1,50,2019-05-30,2019-06-11,2019-05-20,2019-06-11,UCD,NA
NFA,2019,W,PLACER,S,N,NA,N,25,0.9,27.77777777777778,2019-07-01,NA,2019-06-15,NA,UCD,"estim, ~25"
