Oviposition,River_Available,Act_velocity_m_s,act_depth_m,act_substrate
0,Available,0.35,1.1,7
0,Available,0,0.08,4
0,Available,0.02,0.21,6
0,Available,0.18,0.92,4
0,Available,0.93,0.52,5
0,Available,1.71,0.51,6
0,Available,0.1,0.44,4
0,Available,1.06,0.78,6
0,Available,0.64,0.24,7
0,Available,0.36,0.26,5
0,Available,0.01,0.14,6
0,Available,0.2,0.3,8
0,Available,0.02,0.12,4
0,Available,0,0.08,4
0,Available,0.39,0.32,5
0,Available,0.04,0.09,2
0,Available,0.04,1,7
0,Available,0.53,0.16,5
0,Available,0.19,0.54,3
0,Available,0.62,0.58,7
