Row,Site,Date,EggIDXSec,Meso_Type,Sub_Cat_8,Total_Depth,Mid_Velocity,Data_Type,Site_Code,SQRT_Velocity,Depth_Squared,Sub_Cont_8,Sub_Cat_6,Sub_Cont_6,velocity_plus_0005,Velocity_plus_005,SQRT_Vel005,Sub_Medians_Bldfix600,SubMedians_2,SubScoreBedadjusted,SubMedianBedadjusted,RandomSite,RandomDataType,RandomDepth,RandomSQRTVEL005,RandomDepthSqrd,RandomSubScoreBedADJ,Roughness_Sqyared,RandomSubBed_6,RandomSubBed6SQRD
118,NF FEATHER,39966,13,RUN,7,0.62,0.14,AVAILABLE,6,0.374165739,0.3844,512,5,428,0.1405,0.145,0.380788655,428,183184,6,428,NF FEATHER,Available,0.62,0.380788655,0.3844,6,36,5,25
119,NF FEATHER,39966,1,RUN,4,0.06,0.01,AVAILABLE,6,0.1,0.0036,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NF FEATHER,Available,0.06,0.122474487,0.0036,5,25,4,16
120,NFMF AMERICAN,39967,11,RUN,7,0.57,0.03,AVAILABLE,4,0.173205081,0.3249,512,5,428,0.0305,0.035,0.187082869,428,183184,6,428,NFMF AMERICAN,Available,0.57,0.187082869,0.3249,6,36,5,25
121,NF AMERICAN,39974,3,RUN,5,0.22,0.47,AVAILABLE,5,0.68556546,0.0484,192,4,160,0.4705,0.475,0.689202438,160,25600,5,160,NF AMERICAN,Available,0.22,0.689202438,0.0484,5,25,4,16
122,NF AMERICAN,39974,13,RUN,4,0.04,0,AVAILABLE,5,0,0.0016,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,NF AMERICAN,Available,0.04,0.070710678,0.0016,5,25,4,16
123,MF YUBA,39966,11,POOL,3,0.75,0.38,AVAILABLE,3,0.6164414,0.5625,31,3,32,0.3805,0.385,0.620483682,32,1024,3,32,MF YUBA,Available,0.75,0.620483682,0.5625,3,9,3,9
124,NF AMERICAN,39974,5,RIFFLE,8,0.24,0.28,AVAILABLE,5,0.529150262,0.0576,600,6,800,0.2805,0.285,0.533853913,600,360000,4,294,NF AMERICAN,Available,0.24,0.533853913,0.0576,4,16,6,36
125,NF AMERICAN,39974,5,RIFFLE,5,0.48,0.54,AVAILABLE,5,0.734846923,0.2304,192,4,160,0.5405,0.545,0.738241153,160,25600,5,160,NF AMERICAN,Available,0.48,0.738241153,0.2304,5,25,4,16
126,NF FEATHER,39966,13,RUN,5,0.21,0.01,AVAILABLE,6,0.1,0.0441,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NF FEATHER,Available,0.21,0.122474487,0.0441,5,25,4,16
127,NF AMERICAN,39974,10,POOL,4,0.47,0.36,AVAILABLE,5,0.6,0.2209,96,4,160,0.3605,0.365,0.604152299,160,25600,5,160,NF AMERICAN,Available,0.47,0.604152299,0.2209,5,25,4,16
128,MF FEATHER,39980,9,RAPID,5,0.46,0.09,AVAILABLE,2,0.3,0.2116,192,4,160,0.0905,0.095,0.3082207,160,25600,5,160,MF FEATHER,Available,0.46,0.3082207,0.2116,5,25,4,16
129,NFMF AMERICAN,39967,11,RUN,4,0.28,0,AVAILABLE,4,0,0.0784,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,NFMF AMERICAN,Available,0.28,0.070710678,0.0784,5,25,4,16
130,MF FEATHER,39980,5,RUN,7,0.64,0.77,AVAILABLE,2,0.877496439,0.4096,512,5,428,0.7705,0.775,0.880340843,428,183184,6,428,MF FEATHER,Available,0.64,0.880340843,0.4096,6,36,5,25
131,NFMF AMERICAN,39967,12,RUN,7,0.66,0.04,AVAILABLE,4,0.2,0.4356,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,NF FEATHER,Use,0.36,0.187082869,0.1296,6,36,5,25
132,RUBICON,39962,2,POOL,3,0.02,0,AVAILABLE,7,0,0.0004,31,3,32,0.0005,0.005,0.070710678,32,1024,3,32,RUBICON,Use,0.33,0.234520788,0.1089,6,36,5,25
133,MF FEATHER,39980,7,POOL,6,0.14,0.01,AVAILABLE,2,0.1,0.0196,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,MF YUBA,Use,0.35,0.254950976,0.1225,5,25,4,16
134,MF YUBA,39966,5,POOL,4,0.82,0.28,AVAILABLE,3,0.529150262,0.6724,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,CLAVEY,Use,0.65,0.254950976,0.4225,6,36,5,25
135,NF FEATHER,39966,13,RUN,7,0.12,0,AVAILABLE,6,0,0.0144,512,5,428,0.0005,0.005,0.070710678,428,183184,6,428,MF YUBA,Use,0.61,0.234520788,0.3721,5,25,4,16
136,NF AMERICAN,39974,5,RIFFLE,5,0.35,0.46,AVAILABLE,5,0.678232998,0.1225,192,4,160,0.4605,0.465,0.681909085,160,25600,5,160,RUBICON,Use,0.58,0.273861279,0.3364,6,36,5,25
137,RUBICON,39962,9,RIFFLE,7,0.32,0.04,AVAILABLE,7,0.2,0.1024,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,MF YUBA,Use,0.87,0.234520788,0.7569,6,36,5,25
138,NF FEATHER,39966,7,RUN,6,0.11,0,AVAILABLE,6,0,0.0121,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,NF FEATHER,Use,0.41,0.212132034,0.1681,6,36,5,25
139,NF AMERICAN,39974,7,RUN,8,0.06,0.03,AVAILABLE,5,0.173205081,0.0036,600,6,800,0.0305,0.035,0.187082869,600,360000,4,294,NFMF AMERICAN,Use,0.36,0.291547595,0.1296,6,36,5,25
140,MF YUBA,39966,10,POOL,4,0.19,0.1,AVAILABLE,3,0.316227766,0.0361,96,4,160,0.1005,0.105,0.324037035,160,25600,5,160,NF FEATHER,Use,0.25,0.353553391,0.0625,5,25,4,16
141,MF YUBA,39966,11,POOL,8,0.58,0.4,AVAILABLE,3,0.632455532,0.3364,600,6,800,0.4005,0.405,0.636396103,600,360000,4,294,RUBICON,Use,0.44,0.187082869,0.1936,6,36,5,25
142,NF AMERICAN,39974,13,RUN,6,0.3,0.77,AVAILABLE,5,0.877496439,0.09,334,5,428,0.7705,0.775,0.880340843,428,183184,6,428,MF FEATHER,Use,0.63,0.484767986,0.3969,5,25,4,16
170,NF FEATHER,39966,9,RUN,7,0.58,0.62,AVAILABLE,6,0.787400787,0.3364,512,5,428,0.6205,0.625,0.790569415,428,183184,6,428,NF FEATHER,Use,0.36,0.122474487,0.1296,6,36,5,25
170,NF AMERICAN,39974,3,RUN,3,0.48,0.97,AVAILABLE,5,0.98488578,0.2304,31,3,32,0.9705,0.975,0.987420883,32,1024,3,32,NFMF AMERICAN,Use,0.28,0.122474487,0.0784,5,25,4,16
170,MF FEATHER,39980,5,RUN,7,0.78,0.29,AVAILABLE,2,0.538516481,0.6084,512,5,428,0.2905,0.295,0.543139025,428,183184,6,428,CLAVEY,Use,0.5,0.187082869,0.25,6,36,5,25
170,MF YUBA,39966,10,POOL,4,0.36,0.28,AVAILABLE,3,0.529150262,0.1296,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,NF FEATHER,Use,0.34,0.158113883,0.1156,5,25,4,16
170,RUBICON,39962,2,POOL,5,0.43,0.32,AVAILABLE,7,0.565685425,0.1849,192,4,160,0.3205,0.325,0.570087713,160,25600,5,160,NF FEATHER,Use,0.28,0.122474487,0.0784,6,36,5,25
170,NFMF AMERICAN,39967,9,RUN,4,0.2,0.03,AVAILABLE,4,0.173205081,0.04,96,4,160,0.0305,0.035,0.187082869,160,25600,5,160,MF YUBA,Use,0.72,0.122474487,0.5184,5,25,4,16
170,RUBICON,39962,6,POOL,5,0.82,0.11,AVAILABLE,7,0.331662479,0.6724,192,4,160,0.1105,0.115,0.339116499,160,25600,5,160,NF FEATHER,Use,0.3,0.158113883,0.09,6,36,5,25
170,MF FEATHER,39980,9,RAPID,4,0.12,0.01,AVAILABLE,2,0.1,0.0144,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,MF YUBA,Use,0.37,0.070710678,0.1369,6,36,5,25
170,RUBICON,39962,10,RUN,6,0.32,0.36,AVAILABLE,7,0.6,0.1024,334,5,428,0.3605,0.365,0.604152299,428,183184,6,428,MF YUBA,Use,0.4,0.158113883,0.16,5,25,4,16
170,NFMF AMERICAN,39967,2,RUN,4,0.62,0.02,AVAILABLE,4,0.141421356,0.3844,96,4,160,0.0205,0.025,0.158113883,160,25600,5,160,MF YUBA,Use,0.84,0.234520788,0.7056,5,25,4,16
170,NF FEATHER,39966,11,RUN,7,0.6,0.01,AVAILABLE,6,0.1,0.36,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,RUBICON,Use,0.48,0.187082869,0.2304,6,36,5,25
170,NF AMERICAN,39974,6,RIFFLE,6,0.18,0.01,AVAILABLE,5,0.1,0.0324,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,NF FEATHER,Use,0.27,0.212132034,0.0729,6,36,5,25
170,MF YUBA,39966,9,RAPID,4,0.18,0,AVAILABLE,3,0,0.0324,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,NF FEATHER,Use,0.31,0.070710678,0.0961,6,36,5,25
170,MF FEATHER,39980,7,POOL,8,0.15,0.24,AVAILABLE,2,0.489897949,0.0225,600,6,800,0.2405,0.245,0.494974747,600,360000,4,294,RUBICON,Use,0.3,0.070710678,0.09,6,36,5,25
170,NF FEATHER,39966,7,RUN,5,0.07,0.01,AVAILABLE,6,0.1,0.0049,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NF FEATHER,Use,0.3,0.367423461,0.09,5,25,4,16
170,MF FEATHER,39980,7,POOL,6,0.8,0.04,AVAILABLE,2,0.2,0.64,334,5,428,0.0405,0.045,0.212132034,428,183184,6,428,MF YUBA,Use,0.55,0.070710678,0.3025,6,36,5,25
170,MF FEATHER,39980,3,RIFFLE,7,0.18,0.01,AVAILABLE,2,0.1,0.0324,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,MF YUBA,Use,0.5,0.122474487,0.25,6,36,5,25
170,NF FEATHER,39966,5,RUN,5,0.38,0.03,AVAILABLE,6,0.173205081,0.1444,192,4,160,0.0305,0.035,0.187082869,160,25600,5,160,NF AMERICAN,Use,0.32,0.234520788,0.1024,6,36,5,25
170,NF FEATHER,39966,7,RUN,6,0.11,0.01,AVAILABLE,6,0.1,0.0121,334,5,428,0.0105,0.015,0.122474487,428,183184,6,428,NF AMERICAN,Use,0.3,0.158113883,0.09,4,16,6,36
170,MF YUBA,39966,1,CA3ADE,5,0.18,0.01,AVAILABLE,3,0.1,0.0324,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NF FEATHER,Use,0.3,0.3082207,0.09,5,25,4,16
170,MF YUBA,39966,2,CA3ADE,4,0.52,0.26,AVAILABLE,3,0.509901951,0.2704,96,4,160,0.2605,0.265,0.514781507,160,25600,5,160,NF FEATHER,Use,0.26,0.070710678,0.0676,6,36,5,25
170,MF YUBA,39966,1,CA3ADE,3,0.83,0.01,AVAILABLE,3,0.1,0.6889,31,3,32,0.0105,0.015,0.122474487,32,1024,3,32,NF FEATHER,Use,0.4,0.070710678,0.16,6,36,5,25
170,RUBICON,39962,3,POOL,5,0.54,0.19,AVAILABLE,7,0.435889894,0.2916,192,4,160,0.1905,0.195,0.441588043,160,25600,5,160,NF FEATHER,Use,0.41,0.122474487,0.1681,5,25,4,16
170,NF AMERICAN,39974,3,RUN,5,0.48,0.96,AVAILABLE,5,0.979795897,0.2304,192,4,160,0.9605,0.965,0.982344135,160,25600,5,160,NF FEATHER,Use,0.31,0.418330013,0.0961,6,36,5,25
170,RUBICON,39962,12,POOL,2,0.66,0.01,AVAILABLE,7,0.1,0.4356,2,2,1.025,0.0105,0.015,0.122474487,1.025,1.050625,2,1.025,MF FEATHER,Use,0.18,0.122474487,0.0324,6,36,5,25
170,MF FEATHER,39980,13,POOL,8,0.01,0,AVAILABLE,2,0,0.0001,600,6,800,0.0005,0.005,0.070710678,600,360000,4,294,MF FEATHER,Use,0.48,0.452769257,0.2304,5,25,4,16
170,NF FEATHER,39966,9,RUN,7,0.62,0.62,AVAILABLE,6,0.787400787,0.3844,512,5,428,0.6205,0.625,0.790569415,428,183184,6,428,NF AMERICAN,Use,0.1,0.254950976,0.01,5,25,4,16
170,NF FEATHER,39966,5,RUN,6,0.71,0.29,AVAILABLE,6,0.538516481,0.5041,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,MF YUBA,Use,0.45,0.122474487,0.2025,5,25,4,16
170,NFMF AMERICAN,39967,5,RUN,7,1.1,0.35,AVAILABLE,4,0.591607978,1.21,512,5,428,0.3505,0.355,0.595818764,428,183184,6,428,NFMF AMERICAN,Use,0.16,0.070710678,0.0256,,,,
170,MF FEATHER,39980,3,RIFFLE,5,0.15,0.23,AVAILABLE,2,0.479583152,0.0225,192,4,160,0.2305,0.235,0.484767986,160,25600,5,160,RUBICON,Use,0.45,0.463680925,0.2025,6,36,5,25
170,MF FEATHER,39980,3,RIFFLE,6,0.35,0.34,AVAILABLE,2,0.583095189,0.1225,334,5,428,0.3405,0.345,0.587367006,428,183184,6,428,NF FEATHER,Use,0.4,0.212132034,0.16,5,25,4,16
170,NF AMERICAN,39974,13,RUN,5,0.52,0.93,AVAILABLE,5,0.964365076,0.2704,192,4,160,0.9305,0.935,0.96695398,160,25600,5,160,MF FEATHER,Use,0.5,0.552268051,0.25,,,,
170,MF YUBA,39966,4,RUN,6,0.03,0,AVAILABLE,3,0,0.0009,334,5,428,0.0005,0.005,0.070710678,428,183184,6,428,MF FEATHER,Use,0.46,0.463680925,0.2116,5,25,4,16
170,NFMF AMERICAN,39967,4,RIFFLE,7,0.45,0.29,AVAILABLE,4,0.538516481,0.2025,512,5,428,0.2905,0.295,0.543139025,428,183184,6,428,RUBICON,Use,0.27,0.187082869,0.0729,6,36,5,25
170,RUBICON,39962,3,POOL,2,0.14,0,AVAILABLE,7,0,0.0196,2,2,1.025,0.0005,0.005,0.070710678,1.025,1.050625,2,1.025,MF YUBA,Use,0.43,0.122474487,0.1849,5,25,4,16
170,NF FEATHER,39966,11,RUN,5,0.98,0.71,AVAILABLE,6,0.842614977,0.9604,192,4,160,0.7105,0.715,0.845576726,160,25600,5,160,NFMF AMERICAN,Use,0.34,0.212132034,0.1156,,,,
170,NF FEATHER,39966,5,RUN,6,0.94,0.29,AVAILABLE,6,0.538516481,0.8836,334,5,428,0.2905,0.295,0.543139025,428,183184,6,428,NF FEATHER,Use,0.2,0.430116263,0.04,6,36,5,25
170,NF AMERICAN,39974,3,RUN,6,0.54,1.11,AVAILABLE,5,1.053565375,0.2916,334,5,428,1.1105,1.115,1.055935604,428,183184,6,428,NFMF AMERICAN,Use,0.46,0.122474487,0.2116,6,36,5,25
170,NF FEATHER,39966,5,RUN,5,0.38,0.13,AVAILABLE,6,0.360555128,0.1444,192,4,160,0.1305,0.135,0.367423461,160,25600,5,160,NF AMERICAN,Use,0.14,0.212132034,0.0196,6,36,5,25
170,RUBICON,39962,9,RIFFLE,7,0.28,0.01,AVAILABLE,7,0.1,0.0784,512,5,428,0.0105,0.015,0.122474487,428,183184,6,428,NF FEATHER,Use,0.14,0.122474487,0.0196,6,36,5,25
170,RUBICON,39962,6,POOL,4,0.99,0.28,AVAILABLE,7,0.529150262,0.9801,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,NF FEATHER,Use,0.28,0.441588043,0.0784,6,36,5,25
170,RUBICON,39962,9,RIFFLE,7,0.46,0.59,AVAILABLE,7,0.768114575,0.2116,512,5,428,0.5905,0.595,0.771362431,428,183184,6,428,NFMF AMERICAN,Use,0.48,0.122474487,0.2304,6,36,5,25
170,NF FEATHER,39966,13,RUN,7,0.55,0.27,AVAILABLE,6,0.519615242,0.3025,512,5,428,0.2705,0.275,0.524404424,428,183184,6,428,NF FEATHER,Use,0.3,0.339116499,0.09,5,25,4,16
170,NF FEATHER,39966,11,RUN,6,1,0.68,AVAILABLE,6,0.824621125,1,334,5,428,0.6805,0.685,0.827647268,428,183184,6,428,NF AMERICAN,Use,0.25,0.187082869,0.0625,5,25,4,16
170,RUBICON,39962,10,RUN,5,0.36,0.58,AVAILABLE,7,0.761577311,0.1296,192,4,160,0.5805,0.585,0.764852927,160,25600,5,160,RUBICON,Use,0.26,0.122474487,0.0676,6,36,5,25
170,RUBICON,39962,5,RIFFLE,5,0.8,1.1,AVAILABLE,7,1.048808848,0.64,192,4,160,1.1005,1.105,1.051189802,160,25600,5,160,NF FEATHER,Use,0.36,0.441588043,0.1296,6,36,5,25
170,NF FEATHER,39966,3,RAPID,5,0.38,0.11,AVAILABLE,6,0.331662479,0.1444,192,4,160,0.1105,0.115,0.339116499,160,25600,5,160,NF FEATHER,Use,0.28,0.3082207,0.0784,5,25,4,16
170,RUBICON,39962,5,RIFFLE,4,0.09,0.6,AVAILABLE,7,0.774596669,0.0081,96,4,160,0.6005,0.605,0.777817459,160,25600,5,160,NFMF AMERICAN,Use,0.3,0.122474487,0.09,6,36,5,25
170,NF AMERICAN,39974,3,RUN,5,0.5,0.99,AVAILABLE,5,0.994987437,0.25,192,4,160,0.9905,0.995,0.997496867,160,25600,5,160,RUBICON,Use,0.4,0.291547595,0.16,5,25,4,16
170,MF FEATHER,39980,8,POOL,4,0.35,0.12,AVAILABLE,2,0.346410162,0.1225,96,4,160,0.1205,0.125,0.353553391,160,25600,5,160,NF FEATHER,Use,0.31,0.122474487,0.0961,6,36,5,25
170,NF AMERICAN,39974,1,RAPID,6,0.51,1.71,AVAILABLE,5,1.307669683,0.2601,334,5,428,1.7105,1.715,1.309580085,428,183184,6,428,RUBICON,Use,0.36,0.234520788,0.1296,6,36,5,25
170,RUBICON,39962,1,RIFFLE,7,0.46,1.39,AVAILABLE,7,1.178982612,0.2116,512,5,428,1.3905,1.395,1.181101181,428,183184,6,428,RUBICON,Use,0.34,0.122474487,0.1156,6,36,5,25
170,NF AMERICAN,39974,7,RUN,4,0.62,0.2,AVAILABLE,5,0.447213595,0.3844,96,4,160,0.2005,0.205,0.452769257,160,25600,5,160,RUBICON,Use,0.3,0.122474487,0.09,6,36,5,25
170,MF FEATHER,39980,6,RUN,7,0.84,0.07,AVAILABLE,2,0.264575131,0.7056,512,5,428,0.0705,0.075,0.273861279,428,183184,6,428,NF FEATHER,Use,0.21,0.122474487,0.0441,6,36,5,25
170,MF FEATHER,39980,3,RIFFLE,7,0.38,0.68,AVAILABLE,2,0.824621125,0.1444,512,5,428,0.6805,0.685,0.827647268,428,183184,6,428,CLAVEY,Use,0.68,0.254950976,0.4624,6,36,5,25
170,MF FEATHER,39980,4,RIFFLE,6,0.18,0.28,AVAILABLE,2,0.529150262,0.0324,334,5,428,0.2805,0.285,0.533853913,428,183184,6,428,CLAVEY,Use,0.24,0.187082869,0.0576,6,36,5,25
170,NF AMERICAN,39974,6,RIFFLE,6,0.64,0.89,AVAILABLE,5,0.943398113,0.4096,334,5,428,0.8905,0.895,0.946044396,428,183184,6,428,NF FEATHER,Use,0.46,0.353553391,0.2116,5,25,4,16
170,NFMF AMERICAN,39967,10,RUN,7,1,0.04,AVAILABLE,4,0.2,1,512,5,428,0.0405,0.045,0.212132034,428,183184,6,428,NF FEATHER,Use,0.3,0.122474487,0.09,6,36,5,25
170,MF YUBA,39966,8,RAPID,4,0.06,0,AVAILABLE,3,0,0.0036,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,MF YUBA,Use,0.46,0.070710678,0.2116,6,36,5,25
170,MF YUBA,39966,3,RUN,4,0.12,0.01,AVAILABLE,3,0.1,0.0144,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,RUBICON,Use,0.56,0.122474487,0.3136,6,36,5,25
170,RUBICON,39962,10,RUN,5,0.26,0.22,AVAILABLE,7,0.469041576,0.0676,192,4,160,0.2205,0.225,0.474341649,160,25600,5,160,NF FEATHER,Use,0.22,0.212132034,0.0484,6,36,5,25
170,MF YUBA,39966,8,RAPID,5,0.05,0.05,AVAILABLE,3,0.223606798,0.0025,192,4,160,0.0505,0.055,0.234520788,160,25600,5,160,RUBICON,Use,0.34,0.187082869,0.1156,6,36,5,25
170,RUBICON,39962,5,RIFFLE,4,0.23,0.2,AVAILABLE,7,0.447213595,0.0529,96,4,160,0.2005,0.205,0.452769257,160,25600,5,160,NF FEATHER,Use,0.25,0.158113883,0.0625,5,25,4,16
170,MF FEATHER,39980,4,RIFFLE,6,0.76,0.08,AVAILABLE,2,0.282842712,0.5776,334,5,428,0.0805,0.085,0.291547595,428,183184,6,428,NF FEATHER,Use,0.28,0.070710678,0.0784,5,25,4,16
170,MF YUBA,39966,4,RUN,6,0.26,0.15,AVAILABLE,3,0.387298335,0.0676,334,5,428,0.1505,0.155,0.393700394,428,183184,6,428,MF YUBA,Use,0.18,0.122474487,0.0324,6,36,5,25
170,RUBICON,39962,1,RIFFLE,5,0.26,0.36,AVAILABLE,7,0.6,0.0676,192,4,160,0.3605,0.365,0.604152299,160,25600,5,160,MF YUBA,Use,0.87,0.212132034,0.7569,5,25,4,16
170,NFMF AMERICAN,39967,3,RUN,6,0.14,0.5,AVAILABLE,4,0.707106781,0.0196,334,5,428,0.5005,0.505,0.71063352,428,183184,6,428,NF FEATHER,Use,0.52,0.234520788,0.2704,6,36,5,25
170,NF FEATHER,39966,7,RUN,6,0.61,0.35,AVAILABLE,6,0.591607978,0.3721,334,5,428,0.3505,0.355,0.595818764,428,183184,6,428,MF YUBA,Use,0.49,0.234520788,0.2401,6,36,5,25
170,NF AMERICAN,39974,5,RIFFLE,4,0.08,0,AVAILABLE,5,0,0.0064,96,4,160,0.0005,0.005,0.070710678,160,25600,5,160,NFMF AMERICAN,Use,0.48,0.122474487,0.2304,6,36,5,25
170,NF FEATHER,39966,7,RUN,6,1.03,0.25,AVAILABLE,6,0.5,1.0609,334,5,428,0.2505,0.255,0.504975247,428,183184,6,428,MF YUBA,Use,0.33,0.187082869,0.1089,5,25,4,16
170,MF YUBA,39966,2,CA3ADE,6,0.32,1.05,AVAILABLE,3,1.024695077,0.1024,334,5,428,1.0505,1.055,1.027131929,428,183184,6,428,NF FEATHER,Use,0.38,0.122474487,0.1444,5,25,4,16
170,NFMF AMERICAN,39967,8,RIFFLE,7,0.44,0.07,AVAILABLE,4,0.264575131,0.1936,512,5,428,0.0705,0.075,0.273861279,428,183184,6,428,MF YUBA,Use,0.42,0.212132034,0.1764,6,36,5,25
170,MF FEATHER,39980,4,RIFFLE,7,0.58,0.31,AVAILABLE,2,0.556776436,0.3364,512,5,428,0.3105,0.315,0.561248608,428,183184,6,428,RUBICON,Use,0.32,0.212132034,0.1024,6,36,5,25
170,NF AMERICAN,39974,1,RAPID,5,0.2,0.1,AVAILABLE,5,0.316227766,0.04,192,4,160,0.1005,0.105,0.324037035,160,25600,5,160,MF FEATHER,Use,0.63,0.463680925,0.3969,5,25,4,16
170,MF YUBA,39966,11,POOL,4,0.88,0.3,AVAILABLE,3,0.547722558,0.7744,96,4,160,0.3005,0.305,0.552268051,160,25600,5,160,CLAVEY,Use,0.39,0.339116499,0.1521,6,36,5,25
170,RUBICON,39962,1,RIFFLE,6,0.2,1.25,AVAILABLE,7,1.118033989,0.04,334,5,428,1.2505,1.255,1.120267825,428,183184,6,428,CLAVEY,Use,0.44,0.070710678,0.1936,6,36,5,25
170,RUBICON,39962,3,POOL,6,0.84,0.25,AVAILABLE,7,0.5,0.7056,334,5,428,0.2505,0.255,0.504975247,428,183184,6,428,NFMF AMERICAN,Use,0.34,0.070710678,0.1156,6,36,5,25
170,MF YUBA,39966,2,CA3ADE,4,0.6,0.14,AVAILABLE,3,0.374165739,0.36,96,4,160,0.1405,0.145,0.380788655,160,25600,5,160,NF FEATHER,Use,0.27,0.234520788,0.0729,6,36,5,25
170,RUBICON,39962,10,RUN,5,0.29,0.53,AVAILABLE,7,0.728010989,0.0841,192,4,160,0.5305,0.535,0.731436942,160,25600,5,160,CLAVEY,Use,0.46,0.430116263,0.2116,6,36,5,25
170,RUBICON,39962,4,RIFFLE,1,0.08,0.09,AVAILABLE,7,0.3,0.0064,0.5,1,0.025,0.0905,0.095,0.3082207,0.025,0.000625,1,0.025,NF FEATHER,Use,0.35,0.158113883,0.1225,6,36,5,25
170,NF FEATHER,39966,7,RUN,5,0.09,0.02,AVAILABLE,6,0.141421356,0.0081,192,4,160,0.0205,0.025,0.158113883,160,25600,5,160,NF AMERICAN,Use,0.3,0.070710678,0.09,6,36,5,25
170,MF FEATHER,39980,4,RIFFLE,7,0.5,0.24,AVAILABLE,2,0.489897949,0.25,512,5,428,0.2405,0.245,0.494974747,428,183184,6,428,NF FEATHER,Use,0.39,0.122474487,0.1521,6,36,5,25
170,RUBICON,39962,2,POOL,5,0.08,0.01,AVAILABLE,7,0.1,0.0064,192,4,160,0.0105,0.015,0.122474487,160,25600,5,160,MF YUBA,Use,0.42,0.158113883,0.1764,5,25,4,16
170,MF YUBA,39966,4,RUN,5,0.68,0.42,AVAILABLE,3,0.64807407,0.4624,192,4,160,0.4205,0.425,0.651920241,160,25600,5,160,NF AMERICAN,Use,0.25,0.187082869,0.0625,4,16,6,36
170,NF FEATHER,39966,5,RUN,5,0.55,0.09,AVAILABLE,6,0.3,0.3025,192,4,160,0.0905,0.095,0.3082207,160,25600,5,160,NF AMERICAN,Use,0.22,0.158113883,0.0484,6,36,5,25
170,NF AMERICAN,39974,13,RUN,6,0.66,1.04,AVAILABLE,5,1.019803903,0.4356,334,5,428,1.0405,1.045,1.022252415,428,183184,6,428,NF AMERICAN,Use,0.4,0.3082207,0.16,6,36,5,25
170,MF FEATHER,39980,5,RUN,4,0.74,0.62,AVAILABLE,2,0.787400787,0.5476,96,4,160,0.6205,0.625,0.790569415,160,25600,5,160,MF FEATHER,Use,0.54,0.187082869,0.2916,6,36,5,25
170,NF AMERICAN,39974,10,POOL,5,0.8,0.59,AVAILABLE,5,0.768114575,0.64,192,4,160,0.5905,0.595,0.771362431,160,25600,5,160,NF FEATHER,Use,0.36,0.122474487,0.1296,6,36,5,25
170,NFMF AMERICAN,39967,11,RUN,4,0.33,0.01,AVAILABLE,4,0.1,0.1089,96,4,160,0.0105,0.015,0.122474487,160,25600,5,160,NFMF AMERICAN,Use,0.12,0.122474487,0.0144,,,,
170,NF FEATHER,39966,13,RUN,7,0.64,0.05,AVAILABLE,6,0.223606798,0.4096,512,5,428,0.0505,0.055,0.234520788,428,183184,6,428,RUBICON,Use,0.59,0.380788655,0.3481,6,36,5,25
170,NFMF AMERICAN,39967,5,RUN,2,0.16,0.04,AVAILABLE,4,0.2,0.0256,2,2,1.025,0.0405,0.045,0.212132034,1.025,1.050625,2,1.025,RUBICON,Use,0.12,0.212132034,0.0144,5,25,4,16
170,MF YUBA,39966,2,CA3ADE,4,0.25,0.28,AVAILABLE,3,0.529150262,0.0625,96,4,160,0.2805,0.285,0.533853913,160,25600,5,160,MF YUBA,Use,0.66,0.122474487,0.4356,5,25,4,16
170,NFMF AMERICAN,39967,3,RUN,6,0.5,0.27,AVAILABLE,4,0.519615242,0.25,334,5,428,0.2705,0.275,0.524404424,428,183184,6,428,NF AMERICAN,Use,0.42,0.234520788,0.1764,5,25,4,16
170,NF AMERICAN,39974,10,POOL,3,0.07,0.01,AVAILABLE,5,0.1,0.0049,31,3,32,0.0105,0.015,0.122474487,32,1024,3,32,NF FEATHER,Use,0.32,0.291547595,0.1024,6,36,5,25
170,NF AMERICAN,39974,4,RIFFLE,5,0.42,0.45,AVAILABLE,5,0.670820393,0.1764,192,4,160,0.4505,0.455,0.674536878,160,25600,5,160,SF AMERICAN,Use,0.28,0.212132034,0.0784,6,36,5,25
