yday,1998-W,1999-W,2000-AN,2001-D,2002-D,2003-AN,2004-BN,2005-AN,2006-W,2007-D,2008-C,Synthesis
243,1750.375999,1750.375999,716.4453998,235.4657999,1092.101,1803.037999,485.6102998,1803.037999,1144.763,301.2932999,473.3224998,1151.1951
244,2180.448999,1653.828999,619.0206998,224.0556999,1048.216,1645.051999,444.3583999,1855.699999,1276.418,295.1493999,466.3008999,1151.4309
245,2575.413999,1671.382999,564.6032998,212.6455999,934.1149997,1601.166999,422.4158999,1978.577999,1293.972,278.4730999,473.3224998,1110.6375
246,2373.542999,1346.634,535.6391998,205.6239999,762.0857998,1557.281999,406.6172999,1890.807999,1320.303,264.4298999,466.3008999,1048.9103
247,1978.577999,1056.993,509.3081998,196.8469999,695.3805998,1504.62,386.4301999,1574.835999,1364.188,238.0988999,439.0921999,993.9164997
248,2224.333999,942.8919997,485.6102998,185.4368999,680.4596998,1408.073,364.4876999,1469.512,1372.965,225.8110999,413.6388999,993.5234997
249,2294.549999,1153.54,490.8764998,176.6598999,683.9704998,1267.641,340.7897999,1469.512,1293.972,240.7319999,400.4733999,981.2487997
250,3014.263999,1197.425,455.7684999,169.6382999,646.2293998,1179.871,318.8472999,1329.08,1232.533,232.8326999,371.5092999,932.3988997
251,2628.075999,1056.993,418.9050999,166.1274999,582.1572998,1144.763,310.9479999,1109.655,1144.763,208.2570999,355.7106999,893.2298997
252,2487.643999,1004.331,448.7468999,160.8613,509.3081998,1048.216,293.3939999,1100.878,1030.662,189.8253999,328.5019999,860.0999997
253,2549.082999,960.4459997,488.2433998,149.4512,437.3367999,899.0069997,267.0629999,2294.549999,951.6689997,179.2929999,306.5594999,851.2181997
254,2470.089999,986.7769997,398.7179999,141.5519,388.1855999,796.3160997,253.8974999,1776.706999,843.7118997,174.9044999,301.2932999,803.8092997
255,2399.873999,1083.324,358.3437999,137.1634,366.2430999,712.0568998,236.3434999,1425.627,823.5247997,169.6382999,291.6385999,753.1908998
256,2549.082999,1092.101,334.6458999,131.0195,360.9768999,647.9847998,227.5664999,1320.303,756.8195998,162.6167,263.5521999,724.2398998
257,2619.298999,1109.655,339.0343999,125.7533,360.0991999,593.5673998,221.4225999,1223.756,674.3157998,154.7174,240.7319999,693.6906998
